seed,tol,policy,initial_belief,final_error,tail_error_mean,tail_coverage_mean,reference_rejected_total
3,0.11,gated,0.133287619482162,0.866712380517838,0.866712380517838,0.5,80
3,0.11,accept_all,0.133287619482162,0.0,0.5200274283107028,1.0,0
3,0.11,reference_only,0.133287619482162,0.0,0.0,0.5,0
3,0.25,gated,0.133287619482162,0.866712380517838,0.866712380517838,0.5,80
3,0.25,accept_all,0.133287619482162,0.0,0.5200274283107028,1.0,0
3,0.25,reference_only,0.133287619482162,0.0,0.0,0.5,0
3,1.0,gated,0.133287619482162,0.0,0.5200274283107028,1.0,0
3,1.0,accept_all,0.133287619482162,0.0,0.5200274283107028,1.0,0
3,1.0,reference_only,0.133287619482162,0.0,0.0,0.5,0
4,0.0,gated,0.1326168314081021,0.8673831685918979,0.8673831685918978,0.5,80
4,0.0,accept_all,0.1326168314081021,0.8673831685918979,0.4336915842959489,1.0,0
4,0.0,reference_only,0.1326168314081021,0.0,0.0,0.5,0
4,0.01,gated,0.1326168314081021,0.8673831685918979,0.8673831685918978,0.5,80
4,0.01,accept_all,0.1326168314081021,0.8673831685918979,0.4336915842959489,1.0,0
4,0.01,reference_only,0.1326168314081021,0.0,0.0,0.5,0
4,0.024,gated,0.1326168314081021,0.8673831685918979,0.8673831685918978,0.5,80
4,0.024,accept_all,0.1326168314081021,0.8673831685918979,0.4336915842959489,1.0,0
4,0.024,reference_only,0.1326168314081021,0.0,0.0,0.5,0
4,0.026,gated,0.1326168314081021,0.8673831685918979,0.8673831685918978,0.5,80
4,0.026,accept_all,0.1326168314081021,0.8673831685918979,0.4336915842959489,1.0,0
4,0.026,reference_only,0.1326168314081021,0.0,0.0,0.5,0
4,0.05,gated,0.1326168314081021,0.8673831685918979,0.8673831685918978,0.5,80
4,0.05,accept_all,0.1326168314081021,0.8673831685918979,0.4336915842959489,1.0,0
4,0.05,reference_only,0.1326168314081021,0.0,0.0,0.5,0
4,0.11,gated,0.1326168314081021,0.8673831685918979,0.8673831685918978,0.5,80
4,0.11,accept_all,0.1326168314081021,0.8673831685918979,0.4336915842959489,1.0,0
4,0.11,reference_only,0.1326168314081021,0.0,0.0,0.5,0
4,0.25,gated,0.1326168314081021,0.8673831685918979,0.8673831685918978,0.5,80
4,0.25,accept_all,0.1326168314081021,0.8673831685918979,0.4336915842959489,1.0,0
4,0.25,reference_only,0.1326168314081021,0.0,0.0,0.5,0
4,1.0,gated,0.1326168314081021,0.8673831685918979,0.4336915842959489,1.0,0
4,1.0,accept_all,0.1326168314081021,0.8673831685918979,0.4336915842959489,1.0,0
4,1.0,reference_only,0.1326168314081021,0.0,0.0,0.5,0
5,0.0,gated,0.2680155932113957,0.7319844067886043,0.7319844067886043,0.5,80
5,0.0,accept_all,0.2680155932113957,0.0,0.32939298305487197,1.0,0
5,0.0,reference_only,0.2680155932113957,0.0,0.0,0.5,0
5,0.01,gated,0.2680155932113957,0.7319844067886043,0.7319844067886043,0.5,80
5,0.01,accept_all,0.2680155932113957,0.0,0.32939298305487197,1.0,0
5,0.01,reference_only,0.2680155932113957,0.0,0.0,0.5,0
5,0.024,gated,0.2680155932113957,0.7319844067886043,0.7319844067886043,0.5,80
5,0.024,accept_all,0.2680155932113957,0.0,0.32939298305487197,1.0,0
5,0.024,reference_only,0.2680155932113957,0.0,0.0,0.5,0
5,0.026,gated,0.2680155932113957,0.7319844067886043,0.7319844067886043,0.5,80
5,0.026,accept_all,0.2680155932113957,0.0,0.32939298305487197,1.0,0
5,0.026,reference_only,0.2680155932113957,0.0,0.0,0.5,0
5,0.05,gated,0.2680155932113957,0.7319844067886043,0.7319844067886043,0.5,80
5,0.05,accept_all,0.2680155932113957,0.0,0.32939298305487197,1.0,0
5,0.05,reference_only,0.2680155932113957,0.0,0.0,0.5,0
5,0.11,gated,0.2680155932113957,0.7319844067886043,0.7319844067886043,0.5,80
5,0.11,accept_all,0.2680155932113957,0.0,0.32939298305487197,1.0,0
5,0.11,reference_only,0.2680155932113957,0.0,0.0,0.5,0
5,0.25,gated,0.2680155932113957,0.7319844067886043,0.7319844067886043,0.5,80
5,0.25,accept_all,0.2680155932113957,0.0,0.32939298305487197,1.0,0
5,0.25,reference_only,0.2680155932113957,0.0,0.0,0.5,0
5,1.0,gated,0.2680155932113957,0.0,0.32939298305487197,1.0,0
5,1.0,accept_all,0.2680155932113957,0.0,0.32939298305487197,1.0,0
5,1.0,reference_only,0.2680155932113957,0.0,0.0,0.5,0
6,0.0,gated,0.32766902931658204,0.672330970683418,0.672330970683418,0.5,80
6,0.0,accept_all,0.32766902931658204,0.0,0.2353158397391963,1.0,0
6,0.0,reference_only,0.32766902931658204,0.0,0.0,0.5,0
6,0.01,gated,0.32766902931658204,0.672330970683418,0.672330970683418,0.5,80
6,0.01,accept_all,0.32766902931658204,0.0,0.2353158397391963,1.0,0
6,0.01,reference_only,0.32766902931658204,0.0,0.0,0.5,0
6,0.024,gated,0.32766902931658204,0.672330970683418,0.672330970683418,0.5,80
6,0.024,accept_all,0.32766902931658204,0.0,0.2353158397391963,1.0,0
6,0.024,reference_only,0.32766902931658204,0.0,0.0,0.5,0
6,0.026,gated,0.32766902931658204,0.672330970683418,0.672330970683418,0.5,80
6,0.026,accept_all,0.32766902931658204,0.0,0.2353158397391963,1.0,0
6,0.026,reference_only,0.32766902931658204,0.0,0.0,0.5,0
6,0.05,gated,0.32766902931658204,0.672330970683418,0.672330970683418,0.5,80
6,0.05,accept_all,0.32766902931658204,0.0,0.2353158397391963,1.0,0
6,0.05,reference_only,0.32766902931658204,0.0,0.0,0.5,0
6,0.11,gated,0.32766902931658204,0.672330970683418,0.672330970683418,0.5,80
