fixture,seed,policy,tol,step,initial_belief,reference,belief,state_delta,accepted_agreement,all_input_agreement,coverage,reference_error,reference_acceptance,rejected_total,reference_rejected_total
oscillation,-1,accept_all,0.11,80,0.5,0.5,0.55,0.10000000000000003,0.8999999999999999,0.8999999999999999,1.0,0.050000000000000044,,0,0
oscillation,-1,reference_only,0.11,80,0.5,0.5,0.5,0.0,,0.95,0.0,0.0,,80,0
oscillation,-1,gated,0.25,80,0.5,0.5,0.55,0.10000000000000003,0.8999999999999999,0.8999999999999999,1.0,0.050000000000000044,,0,0
oscillation,-1,accept_all,0.25,80,0.5,0.5,0.55,0.10000000000000003,0.8999999999999999,0.8999999999999999,1.0,0.050000000000000044,,0,0
oscillation,-1,reference_only,0.25,80,0.5,0.5,0.5,0.0,,0.95,0.0,0.0,,80,0
oscillation,-1,gated,1.0,80,0.5,0.5,0.55,0.10000000000000003,0.8999999999999999,0.8999999999999999,1.0,0.050000000000000044,,0,0
oscillation,-1,accept_all,1.0,80,0.5,0.5,0.55,0.10000000000000003,0.8999999999999999,0.8999999999999999,1.0,0.050000000000000044,,0,0
oscillation,-1,reference_only,1.0,80,0.5,0.5,0.5,0.0,,0.95,0.0,0.0,,80,0
all_rejected,-1,gated,0.0,80,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,80,80
all_rejected,-1,accept_all,0.0,80,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,reference_only,0.0,80,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,gated,0.01,80,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,80,80
all_rejected,-1,accept_all,0.01,80,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,reference_only,0.01,80,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0
all_rejected,-1,gated,0.024,80,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,80,80
