family,seed,phase,probe,returned_belief,passed
descending_bridge,41,18,0.0125,0.0,True
descending_bridge,41,18,0.025,0.0,True
descending_bridge,41,19,0,0.0,True
descending_bridge,41,19,0.0125,0.0,True
descending_bridge,41,19,0.025,0.0,True
descending_bridge,41,20,0,0.0,True
descending_bridge,41,20,0.0125,0.0,True
descending_bridge,41,20,0.025,0.0,True
descending_bridge,41,21,0,0.0,True
descending_bridge,41,21,0.0125,0.0,True
descending_bridge,41,21,0.025,0.0,True
descending_bridge,41,22,0,0.0,True
descending_bridge,41,22,0.0125,0.0,True
descending_bridge,41,22,0.025,0.0,True
descending_bridge,41,23,0,0.0,True
descending_bridge,41,23,0.0125,0.0,True
descending_bridge,41,23,0.025,0.0,True
descending_bridge,41,24,0,0.0,True
descending_bridge,41,24,0.0125,0.0,True
descending_bridge,41,24,0.025,0.0,True
descending_bridge,41,25,0,0.0,True
descending_bridge,41,25,0.0125,0.0,True
descending_bridge,41,25,0.025,0.0,True
descending_bridge,41,26,0,0.0,True
descending_bridge,41,26,0.0125,0.0,True
descending_bridge,41,26,0.025,0.0,True
descending_bridge,41,27,0,0.0,True
descending_bridge,41,27,0.0125,0.0,True
descending_bridge,41,27,0.025,0.0,True
descending_bridge,41,28,0,0.0,True
descending_bridge,41,28,0.0125,0.0,True
descending_bridge,41,28,0.025,0.0,True
descending_bridge,41,29,0,0.0,True
descending_bridge,41,29,0.0125,0.0,True
descending_bridge,41,29,0.025,0.0,True
descending_bridge,41,30,0,0.0,True
descending_bridge,41,30,0.0125,0.0,True
descending_bridge,41,30,0.025,0.0,True
descending_bridge,41,31,0,0.0,True
descending_bridge,41,31,0.0125,0.0,True
descending_bridge,41,31,0.025,0.0,True
descending_bridge,41,32,0,0.0,True
descending_bridge,41,32,0.0125,0.0,True
descending_bridge,41,32,0.025,0.0,True
descending_bridge,41,33,0,0.0,True
descending_bridge,41,33,0.0125,0.0,True
descending_bridge,41,33,0.025,0.0,True
descending_bridge,41,34,0,0.0,True
descending_bridge,41,34,0.0125,0.0,True
descending_bridge,41,34,0.025,0.0,True
descending_bridge,41,35,0,0.0,True
descending_bridge,41,35,0.0125,0.0,True
descending_bridge,41,35,0.025,0.0,True
descending_bridge,41,36,0,0.0,True
descending_bridge,41,36,0.0125,0.0,True
descending_bridge,41,36,0.025,0.0,True
descending_bridge,41,37,0,0.0,True
descending_bridge,41,37,0.0125,0.0,True
descending_bridge,41,37,0.025,0.0,True
descending_bridge,41,38,0,0.0,True
descending_bridge,41,38,0.0125,0.0,True
descending_bridge,41,38,0.025,0.0,True
descending_bridge,41,39,0,0.0,True
descending_bridge,41,39,0.0125,0.0,True
descending_bridge,41,39,0.025,0.0,True
descending_bridge,53,0,0,0.0,True
descending_bridge,53,0,0.0125,0.0,True
descending_bridge,53,0,0.025,0.0,True
descending_bridge,53,1,0,0.0,True
descending_bridge,53,1,0.0125,0.0,True
descending_bridge,53,1,0.025,0.0,True
descending_bridge,53,2,0,0.0,True
descending_bridge,53,2,0.0125,0.0,True
descending_bridge,53,2,0.025,0.0,True
descending_bridge,53,3,0,0.0,True
descending_bridge,53,3,0.0125,0.0,True
descending_bridge,53,3,0.025,0.0,True
descending_bridge,53,4,0,0.0,True
descending_bridge,53,4,0.0125,0.0,True
descending_bridge,53,4,0.025,0.0,True
descending_bridge,53,5,0,0.0,True
descending_bridge,53,5,0.0125,0.0,True
descending_bridge,53,5,0.025,0.0,True
descending_bridge,53,6,0,0.0,True
descending_bridge,53,6,0.0125,0.0,True
descending_bridge,53,6,0.025,0.0,True
descending_bridge,53,7,0,0.0,True
descending_bridge,53,7,0.0125,0.0,True
descending_bridge,53,7,0.025,0.0,True
descending_bridge,53,8,0,0.0,True
descending_bridge,53,8,0.0125,0.0,True
descending_bridge,53,8,0.025,0.0,True
descending_bridge,53,9,0,0.0,True
descending_bridge,53,9,0.0125,0.0,True
descending_bridge,53,9,0.025,0.0,True
descending_bridge,53,10,0,0.0,True
descending_bridge,53,10,0.0125,0.0,True
descending_bridge,53,10,0.025,0.0,True
descending_bridge,53,11,0,0.0,True
descending_bridge,53,11,0.0125,0.0,True
descending_bridge,53,11,0.025,0.0,True
descending_bridge,53,12,0,0.0,True
descending_bridge,53,12,0.0125,0.0,True
descending_bridge,53,12,0.025,0.0,True
descending_bridge,53,13,0,0.0,True
descending_bridge,53,13,0.0125,0.0,True
descending_bridge,53,13,0.025,0.0,True
descending_bridge,53,14,0,0.0,True
descending_bridge,53,14,0.0125,0.0,True
descending_bridge,53,14,0.025,0.0,True
descending_bridge,53,15,0,0.0,True
descending_bridge,53,15,0.0125,0.0,True
descending_bridge,53,15,0.025,0.0,True
descending_bridge,53,16,0,0.0,True
descending_bridge,53,16,0.0125,0.0,True
descending_bridge,53,16,0.025,0.0,True
descending_bridge,53,17,0,0.0,True
descending_bridge,53,17,0.0125,0.0,True
descending_bridge,53,17,0.025,0.0,True
descending_bridge,53,18,0,0.0,True
descending_bridge,53,18,0.0125,0.0,True
descending_bridge,53,18,0.025,0.0,True
descending_bridge,53,19,0,0.0,True
descending_bridge,53,19,0.0125,0.0,True
descending_bridge,53,19,0.025,0.0,True
descending_bridge,53,20,0,0.0,True
descending_bridge,53,20,0.0125,0.0,True
descending_bridge,53,20,0.025,0.0,True
descending_bridge,53,21,0,0.0,True
descending_bridge,53,21,0.0125,0.0,True
descending_bridge,53,21,0.025,0.0,True
descending_bridge,53,22,0,0.0,True
descending_bridge,53,22,0.0125,0.0,True
descending_bridge,53,22,0.025,0.0,True
descending_bridge,53,23,0,0.0,True
descending_bridge,53,23,0.0125,0.0,True
descending_bridge,53,23,0.025,0.0,True
descending_bridge,53,24,0,0.0,True
descending_bridge,53,24,0.0125,0.0,True
descending_bridge,53,24,0.025,0.0,True
descending_bridge,53,25,0,0.0,True
descending_bridge,53,25,0.0125,0.0,True
descending_bridge,53,25,0.025,0.0,True
descending_bridge,53,26,0,0.0,True
descending_bridge,53,26,0.0125,0.0,True
descending_bridge,53,26,0.025,0.0,True
descending_bridge,53,27,0,0.0,True
descending_bridge,53,27,0.0125,0.0,True
descending_bridge,53,27,0.025,0.0,True
descending_bridge,53,28,0,0.0,True
descending_bridge,53,28,0.0125,0.0,True
descending_bridge,53,28,0.025,0.0,True
descending_bridge,53,29,0,0.0,True
descending_bridge,53,29,0.0125,0.0,True
descending_bridge,53,29,0.025,0.0,True
descending_bridge,53,30,0,0.0,True
descending_bridge,53,30,0.0125,0.0,True
descending_bridge,53,30,0.025,0.0,True
descending_bridge,53,31,0,0.0,True
descending_bridge,53,31,0.0125,0.0,True
descending_bridge,53,31,0.025,0.0,True
descending_bridge,53,32,0,0.0,True
descending_bridge,53,32,0.0125,0.0,True
descending_bridge,53,32,0.025,0.0,True
descending_bridge,53,33,0,0.0,True
descending_bridge,53,33,0.0125,0.0,True
descending_bridge,53,33,0.025,0.0,True
descending_bridge,53,34,0,0.0,True
descending_bridge,53,34,0.0125,0.0,True
descending_bridge,53,34,0.025,0.0,True
descending_bridge,53,35,0,0.0,True
descending_bridge,53,35,0.0125,0.0,True
descending_bridge,53,35,0.025,0.0,True
descending_bridge,53,36,0,0.0,True
descending_bridge,53,36,0.0125,0.0,True
descending_bridge,53,36,0.025,0.0,True
descending_bridge,53,37,0,0.0,True
descending_bridge,53,37,0.0125,0.0,True
descending_bridge,53,37,0.025,0.0,True
descending_bridge,53,38,0,0.0,True
descending_bridge,53,38,0.0125,0.0,True
descending_bridge,53,38,0.025,0.0,True
descending_bridge,53,39,0,0.0,True
descending_bridge,53,39,0.0125,0.0,True
descending_bridge,53,39,0.025,0.0,True
