run_id,regime,seed,arm,evidence_strength,condition_id,family,q_nominal,drift_v,order,baseline_steps,attractor_belief,stable_window,local_probe_count,local_probes_passed,D_pre,D_immediate_first,D_immediate_last,D_final,D_post,delta_D,C_pre,C_post,C_post_defined_steps,normal_accepted,normal_rejected,acceptance_rate,rejection_rate,external_delivery_count,bypass_delivery_count,external_update_accepted_count,external_rejected_count,actual_revision_count,qualifying_revision_count,genuine_revision_count,apparent_correction_count,relapse_observed,relapse_rate_if_eligible,relapse_start_step,relapse_confirmation_step,time_to_relapse,time_to_relapse_from_last_injection,persistent_escape,persistent_escape_rate,normal_post_steps,steps_after_last_injection,classification,reference_corruption,reference_avoidance,post_inputs,corrective_offered,contradictory_offered,q_actual,q_old_halfspace,exact_old_count,input_mean,last_input,sequence_sha256,multiset_sha256,D_min,recapture_latency,recapture_slope_net,recapture_slope_active,corrective_before_failure,contradictory_before_failure,corrective_accepted_before_failure,contradictory_accepted_before_failure,C_at_relapse,early_C_mean,early_C_defined_steps,early_C_alarm,alarm_is_prospective,high_C_at_relapse
abrupt_return_q0_vNone_orderNone_seed7,stationary,7,post_input_dynamics,1.0,abrupt_return_q0_vNone_orderNone,abrupt_return,0,,,11,0.0,10,3,True,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,20,120,0,1.0,0.0,1,1,1,0,1,1,1,0,False,0,,,,,True,1,120,120,A_genuine_revision_candidate,not_available,not_available,120,120,0,0.0,0.0,0,1.0,1.0,9681d438cff3933cccb4de8dea65105b60c1bc168497d913beaa792c3280eff4,9681d438cff3933cccb4de8dea65105b60c1bc168497d913beaa792c3280eff4,0.0,,,,,,,,,1.0,10,False,True,
abrupt_return_q0_vNone_orderNone_seed17,stationary,17,post_input_dynamics,1.0,abrupt_return_q0_vNone_orderNone,abrupt_return,0,,,11,0.0,10,3,True,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,20,120,0,1.0,0.0,1,1,1,0,1,1,1,0,False,0,,,,,True,1,120,120,A_genuine_revision_candidate,not_available,not_available,120,120,0,0.0,0.0,0,1.0,1.0,9681d438cff3933cccb4de8dea65105b60c1bc168497d913beaa792c3280eff4,9681d438cff3933cccb4de8dea65105b60c1bc168497d913beaa792c3280eff4,0.0,,,,,,,,,1.0,10,False,True,
abrupt_return_q0_vNone_orderNone_seed29,stationary,29,post_input_dynamics,1.0,abrupt_return_q0_vNone_orderNone,abrupt_return,0,,,11,0.0,10,3,True,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,20,120,0,1.0,0.0,1,1,1,0,1,1,1,0,False,0,,,,,True,1,120,120,A_genuine_revision_candidate,not_available,not_available,120,120,0,0.0,0.0,0,1.0,1.0,9681d438cff3933cccb4de8dea65105b60c1bc168497d913beaa792c3280eff4,9681d438cff3933cccb4de8dea65105b60c1bc168497d913beaa792c3280eff4,0.0,,,,,,,,,1.0,10,False,True,
abrupt_return_q0_vNone_orderNone_seed41,stationary,41,post_input_dynamics,1.0,abrupt_return_q0_vNone_orderNone,abrupt_return,0,,,11,0.0,10,3,True,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,20,120,0,1.0,0.0,1,1,1,0,1,1,1,0,False,0,,,,,True,1,120,120,A_genuine_revision_candidate,not_available,not_available,120,120,0,0.0,0.0,0,1.0,1.0,9681d438cff3933cccb4de8dea65105b60c1bc168497d913beaa792c3280eff4,9681d438cff3933cccb4de8dea65105b60c1bc168497d913beaa792c3280eff4,0.0,,,,,,,,,1.0,10,False,True,
abrupt_return_q0_vNone_orderNone_seed53,stationary,53,post_input_dynamics,1.0,abrupt_return_q0_vNone_orderNone,abrupt_return,0,,,11,0.0,10,3,True,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,20,120,0,1.0,0.0,1,1,1,0,1,1,1,0,False,0,,,,,True,1,120,120,A_genuine_revision_candidate,not_available,not_available,120,120,0,0.0,0.0,0,1.0,1.0,9681d438cff3933cccb4de8dea65105b60c1bc168497d913beaa792c3280eff4,9681d438cff3933cccb4de8dea65105b60c1bc168497d913beaa792c3280eff4,0.0,,,,,,,,,1.0,10,False,True,
abrupt_return_q0.1_vNone_orderNone_seed7,stationary,7,post_input_dynamics,1.0,abrupt_return_q0.1_vNone_orderNone,abrupt_return,0.1,,,11,0.0,10,3,True,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,20,108,12,0.9,0.1,1,1,1,0,1,1,1,0,False,0,,,,,True,1,120,120,A_genuine_revision_candidate,not_available,not_available,120,108,12,0.1,0.1,12,0.9,1.0,f7cfd6a614300fae5b38187a23d7d8da934faebafdd90046566b775dfaa2cb6a,f7cfd6a614300fae5b38187a23d7d8da934faebafdd90046566b775dfaa2cb6a,0.0,,,,,,,,,,0,,True,
abrupt_return_q0.1_vNone_orderNone_seed17,stationary,17,post_input_dynamics,1.0,abrupt_return_q0.1_vNone_orderNone,abrupt_return,0.1,,,11,0.0,10,3,True,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,20,108,12,0.9,0.1,1,1,1,0,1,1,1,0,False,0,,,,,True,1,120,120,A_genuine_revision_candidate,not_available,not_available,120,108,12,0.1,0.1,12,0.9,1.0,f7cfd6a614300fae5b38187a23d7d8da934faebafdd90046566b775dfaa2cb6a,f7cfd6a614300fae5b38187a23d7d8da934faebafdd90046566b775dfaa2cb6a,0.0,,,,,,,,,,0,,True,
abrupt_return_q0.1_vNone_orderNone_seed29,stationary,29,post_input_dynamics,1.0,abrupt_return_q0.1_vNone_orderNone,abrupt_return,0.1,,,11,0.0,10,3,True,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,20,108,12,0.9,0.1,1,1,1,0,1,1,1,0,False,0,,,,,True,1,120,120,A_genuine_revision_candidate,not_available,not_available,120,108,12,0.1,0.1,12,0.9,1.0,f7cfd6a614300fae5b38187a23d7d8da934faebafdd90046566b775dfaa2cb6a,f7cfd6a614300fae5b38187a23d7d8da934faebafdd90046566b775dfaa2cb6a,0.0,,,,,,,,,,0,,True,
abrupt_return_q0.1_vNone_orderNone_seed41,stationary,41,post_input_dynamics,1.0,abrupt_return_q0.1_vNone_orderNone,abrupt_return,0.1,,,11,0.0,10,3,True,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,20,108,12,0.9,0.1,1,1,1,0,1,1,1,0,False,0,,,,,True,1,120,120,A_genuine_revision_candidate,not_available,not_available,120,108,12,0.1,0.1,12,0.9,1.0,f7cfd6a614300fae5b38187a23d7d8da934faebafdd90046566b775dfaa2cb6a,f7cfd6a614300fae5b38187a23d7d8da934faebafdd90046566b775dfaa2cb6a,0.0,,,,,,,,,,0,,True,
abrupt_return_q0.1_vNone_orderNone_seed53,stationary,53,post_input_dynamics,1.0,abrupt_return_q0.1_vNone_orderNone,abrupt_return,0.1,,,11,0.0,10,3,True,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,20,108,12,0.9,0.1,1,1,1,0,1,1,1,0,False,0,,,,,True,1,120,120,A_genuine_revision_candidate,not_available,not_available,120,108,12,0.1,0.1,12,0.9,1.0,f7cfd6a614300fae5b38187a23d7d8da934faebafdd90046566b775dfaa2cb6a,f7cfd6a614300fae5b38187a23d7d8da934faebafdd90046566b775dfaa2cb6a,0.0,,,,,,,,,,0,,True,
abrupt_return_q0.25_vNone_orderNone_seed7,stationary,7,post_input_dynamics,1.0,abrupt_return_q0.25_vNone_orderNone,abrupt_return,0.25,,,11,0.0,10,3,True,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,20,90,30,0.75,0.25,1,1,1,0,1,1,1,0,False,0,,,,,True,1,120,120,A_genuine_revision_candidate,not_available,not_available,120,90,30,0.25,0.25,30,0.75,1.0,f0e1e2bf9a7a97b5b448744ec19a4c365d43a1c4e13e6d8f5dc00fcc2e015415,f0e1e2bf9a7a97b5b448744ec19a4c365d43a1c4e13e6d8f5dc00fcc2e015415,0.0,,,,,,,,,,0,,True,
abrupt_return_q0.25_vNone_orderNone_seed17,stationary,17,post_input_dynamics,1.0,abrupt_return_q0.25_vNone_orderNone,abrupt_return,0.25,,,11,0.0,10,3,True,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,20,90,30,0.75,0.25,1,1,1,0,1,1,1,0,False,0,,,,,True,1,120,120,A_genuine_revision_candidate,not_available,not_available,120,90,30,0.25,0.25,30,0.75,1.0,f0e1e2bf9a7a97b5b448744ec19a4c365d43a1c4e13e6d8f5dc00fcc2e015415,f0e1e2bf9a7a97b5b448744ec19a4c365d43a1c4e13e6d8f5dc00fcc2e015415,0.0,,,,,,,,,,0,,True,
abrupt_return_q0.25_vNone_orderNone_seed29,stationary,29,post_input_dynamics,1.0,abrupt_return_q0.25_vNone_orderNone,abrupt_return,0.25,,,11,0.0,10,3,True,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,20,90,30,0.75,0.25,1,1,1,0,1,1,1,0,False,0,,,,,True,1,120,120,A_genuine_revision_candidate,not_available,not_available,120,90,30,0.25,0.25,30,0.75,1.0,f0e1e2bf9a7a97b5b448744ec19a4c365d43a1c4e13e6d8f5dc00fcc2e015415,f0e1e2bf9a7a97b5b448744ec19a4c365d43a1c4e13e6d8f5dc00fcc2e015415,0.0,,,,,,,,,,0,,True,
abrupt_return_q0.25_vNone_orderNone_seed41,stationary,41,post_input_dynamics,1.0,abrupt_return_q0.25_vNone_orderNone,abrupt_return,0.25,,,11,0.0,10,3,True,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,20,90,30,0.75,0.25,1,1,1,0,1,1,1,0,False,0,,,,,True,1,120,120,A_genuine_revision_candidate,not_available,not_available,120,90,30,0.25,0.25,30,0.75,1.0,f0e1e2bf9a7a97b5b448744ec19a4c365d43a1c4e13e6d8f5dc00fcc2e015415,f0e1e2bf9a7a97b5b448744ec19a4c365d43a1c4e13e6d8f5dc00fcc2e015415,0.0,,,,,,,,,,0,,True,
