run_id,family,q_nominal,drift_v,q_actual,classification,D_min,D_final,relapse_start_step,relapse_confirmation_step,time_to_relapse,recapture_latency,recapture_slope_net,recapture_slope_active,corrective_before_failure,contradictory_before_failure,corrective_accepted_before_failure,contradictory_accepted_before_failure
abrupt_return_q0.25_vNone_orderNone_seed53,abrupt_return,0.25,,0.25,A_genuine_revision_candidate,0.0,0.0,,,,,,,,,,
abrupt_return_q0.5_vNone_orderNone_seed7,abrupt_return,0.5,,0.5,A_genuine_revision_candidate,0.0,0.0,,,,,,,,,,
abrupt_return_q0.5_vNone_orderNone_seed17,abrupt_return,0.5,,0.5,A_genuine_revision_candidate,0.0,0.0,,,,,,,,,,
abrupt_return_q0.5_vNone_orderNone_seed29,abrupt_return,0.5,,0.5,A_genuine_revision_candidate,0.0,0.0,,,,,,,,,,
abrupt_return_q0.5_vNone_orderNone_seed41,abrupt_return,0.5,,0.5,A_genuine_revision_candidate,0.0,0.0,,,,,,,,,,
abrupt_return_q0.5_vNone_orderNone_seed53,abrupt_return,0.5,,0.5,A_genuine_revision_candidate,0.0,0.0,,,,,,,,,,
abrupt_return_q0.75_vNone_orderNone_seed7,abrupt_return,0.75,,0.75,A_genuine_revision_candidate,0.0,0.0,,,,,,,,,,
abrupt_return_q0.75_vNone_orderNone_seed17,abrupt_return,0.75,,0.75,A_genuine_revision_candidate,0.0,0.0,,,,,,,,,,
abrupt_return_q0.75_vNone_orderNone_seed29,abrupt_return,0.75,,0.75,A_genuine_revision_candidate,0.0,0.0,,,,,,,,,,
abrupt_return_q0.75_vNone_orderNone_seed41,abrupt_return,0.75,,0.75,A_genuine_revision_candidate,0.0,0.0,,,,,,,,,,
abrupt_return_q0.75_vNone_orderNone_seed53,abrupt_return,0.75,,0.75,A_genuine_revision_candidate,0.0,0.0,,,,,,,,,,
abrupt_return_q0.9_vNone_orderNone_seed7,abrupt_return,0.9,,0.9,A_genuine_revision_candidate,0.0,0.0,,,,,,,,,,
abrupt_return_q0.9_vNone_orderNone_seed17,abrupt_return,0.9,,0.9,A_genuine_revision_candidate,0.0,0.0,,,,,,,,,,
abrupt_return_q0.9_vNone_orderNone_seed29,abrupt_return,0.9,,0.9,A_genuine_revision_candidate,0.0,0.0,,,,,,,,,,
abrupt_return_q0.9_vNone_orderNone_seed41,abrupt_return,0.9,,0.9,A_genuine_revision_candidate,0.0,0.0,,,,,,,,,,
abrupt_return_q0.9_vNone_orderNone_seed53,abrupt_return,0.9,,0.9,A_genuine_revision_candidate,0.0,0.0,,,,,,,,,,
abrupt_return_q1.0_vNone_orderNone_seed7,abrupt_return,1.0,,1.0,A_genuine_revision_candidate,0.0,0.0,,,,,,,,,,
abrupt_return_q1.0_vNone_orderNone_seed17,abrupt_return,1.0,,1.0,A_genuine_revision_candidate,0.0,0.0,,,,,,,,,,
abrupt_return_q1.0_vNone_orderNone_seed29,abrupt_return,1.0,,1.0,A_genuine_revision_candidate,0.0,0.0,,,,,,,,,,
abrupt_return_q1.0_vNone_orderNone_seed41,abrupt_return,1.0,,1.0,A_genuine_revision_candidate,0.0,0.0,,,,,,,,,,
abrupt_return_q1.0_vNone_orderNone_seed53,abrupt_return,1.0,,1.0,A_genuine_revision_candidate,0.0,0.0,,,,,,,,,,
gradual_drift_q0_v0.01_orderNone_seed7,gradual_drift,0,0.01,0.0,A_genuine_revision_candidate,0.0,0.0,,,,,,,,,,
gradual_drift_q0_v0.01_orderNone_seed17,gradual_drift,0,0.01,0.0,A_genuine_revision_candidate,0.0,0.0,,,,,,,,,,
gradual_drift_q0_v0.01_orderNone_seed29,gradual_drift,0,0.01,0.0,A_genuine_revision_candidate,0.0,0.0,,,,,,,,,,
gradual_drift_q0_v0.01_orderNone_seed41,gradual_drift,0,0.01,0.0,A_genuine_revision_candidate,0.0,0.0,,,,,,,,,,
gradual_drift_q0_v0.01_orderNone_seed53,gradual_drift,0,0.01,0.0,A_genuine_revision_candidate,0.0,0.0,,,,,,,,,,
gradual_drift_q0.1_v0.01_orderNone_seed7,gradual_drift,0.1,0.01,0.1,A_genuine_revision_candidate,0.0,0.0,,,,,,,,,,
gradual_drift_q0.1_v0.01_orderNone_seed17,gradual_drift,0.1,0.01,0.1,A_genuine_revision_candidate,0.0,0.0,,,,,,,,,,
gradual_drift_q0.1_v0.01_orderNone_seed29,gradual_drift,0.1,0.01,0.1,A_genuine_revision_candidate,0.0,0.0,,,,,,,,,,
gradual_drift_q0.1_v0.01_orderNone_seed41,gradual_drift,0.1,0.01,0.1,A_genuine_revision_candidate,0.0,0.0,,,,,,,,,,
gradual_drift_q0.1_v0.01_orderNone_seed53,gradual_drift,0.1,0.01,0.1,A_genuine_revision_candidate,0.0,0.0,,,,,,,,,,
