graph_id,source,target,source_value,target_value,rounded_gap,tol
uniform_n40_tol0.051,15,16,0.375,0.4,0.025000000000000022,0.051
uniform_n40_tol0.051,15,17,0.375,0.425,0.04999999999999999,0.051
uniform_n40_tol0.051,16,17,0.4,0.425,0.024999999999999967,0.051
uniform_n40_tol0.051,16,18,0.4,0.45,0.04999999999999999,0.051
uniform_n40_tol0.051,17,18,0.425,0.45,0.025000000000000022,0.051
uniform_n40_tol0.051,17,19,0.425,0.475,0.04999999999999999,0.051
uniform_n40_tol0.051,18,19,0.45,0.475,0.024999999999999967,0.051
uniform_n40_tol0.051,18,20,0.45,0.5,0.04999999999999999,0.051
uniform_n40_tol0.051,19,20,0.475,0.5,0.025000000000000022,0.051
uniform_n40_tol0.051,19,21,0.475,0.525,0.050000000000000044,0.051
uniform_n40_tol0.051,20,21,0.5,0.525,0.025000000000000022,0.051
uniform_n40_tol0.051,20,22,0.5,0.55,0.050000000000000044,0.051
uniform_n40_tol0.051,21,22,0.525,0.55,0.025000000000000022,0.051
uniform_n40_tol0.051,21,23,0.525,0.575,0.04999999999999993,0.051
uniform_n40_tol0.051,22,23,0.55,0.575,0.02499999999999991,0.051
uniform_n40_tol0.051,22,24,0.55,0.6,0.04999999999999993,0.051
uniform_n40_tol0.051,23,24,0.575,0.6,0.025000000000000022,0.051
uniform_n40_tol0.051,23,25,0.575,0.625,0.050000000000000044,0.051
uniform_n40_tol0.051,24,25,0.6,0.625,0.025000000000000022,0.051
uniform_n40_tol0.051,24,26,0.6,0.65,0.050000000000000044,0.051
uniform_n40_tol0.051,25,26,0.625,0.65,0.025000000000000022,0.051
uniform_n40_tol0.051,25,27,0.625,0.675,0.050000000000000044,0.051
uniform_n40_tol0.051,26,27,0.65,0.675,0.025000000000000022,0.051
uniform_n40_tol0.051,26,28,0.65,0.7,0.04999999999999993,0.051
uniform_n40_tol0.051,27,28,0.675,0.7,0.02499999999999991,0.051
uniform_n40_tol0.051,27,29,0.675,0.725,0.04999999999999993,0.051
uniform_n40_tol0.051,28,29,0.7,0.725,0.025000000000000022,0.051
uniform_n40_tol0.051,28,30,0.7,0.75,0.050000000000000044,0.051
uniform_n40_tol0.051,29,30,0.725,0.75,0.025000000000000022,0.051
uniform_n40_tol0.051,29,31,0.725,0.775,0.050000000000000044,0.051
uniform_n40_tol0.051,30,31,0.75,0.775,0.025000000000000022,0.051
uniform_n40_tol0.051,30,32,0.75,0.8,0.050000000000000044,0.051
uniform_n40_tol0.051,31,32,0.775,0.8,0.025000000000000022,0.051
uniform_n40_tol0.051,31,33,0.775,0.825,0.04999999999999993,0.051
uniform_n40_tol0.051,32,33,0.8,0.825,0.02499999999999991,0.051
uniform_n40_tol0.051,32,34,0.8,0.85,0.04999999999999993,0.051
uniform_n40_tol0.051,33,34,0.825,0.85,0.025000000000000022,0.051
uniform_n40_tol0.051,33,35,0.825,0.875,0.050000000000000044,0.051
