seed,run_a,run_b,order_a,order_b,token,input_value,step_a,step_b,belief_before_a,belief_before_b,accepted_a,accepted_b,gap_a,gap_b
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,81,0.0,82,43,0.0,1.0,True,False,0.0,1.0
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,82,0.0,83,44,0.0,1.0,True,False,0.0,1.0
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,83,0.0,84,45,0.0,1.0,True,False,0.0,1.0
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,84,0.0,85,46,0.0,1.0,True,False,0.0,1.0
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,85,0.0,86,47,0.0,1.0,True,False,0.0,1.0
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,86,0.0,87,48,0.0,1.0,True,False,0.0,1.0
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,87,0.0,88,49,0.0,1.0,True,False,0.0,1.0
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,88,0.0,89,50,0.0,1.0,True,False,0.0,1.0
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,89,0.0,90,51,0.0,1.0,True,False,0.0,1.0
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,90,0.0,91,52,0.0,1.0,True,False,0.0,1.0
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,91,0.0,92,53,0.0,1.0,True,False,0.0,1.0
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,92,0.0,93,54,0.0,1.0,True,False,0.0,1.0
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,93,0.0,94,55,0.0,1.0,True,False,0.0,1.0
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,94,0.0,95,56,0.0,1.0,True,False,0.0,1.0
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,95,0.0,96,57,0.0,1.0,True,False,0.0,1.0
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,96,0.0,97,58,0.0,1.0,True,False,0.0,1.0
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,97,0.0,98,59,0.0,1.0,True,False,0.0,1.0
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,98,0.0,99,60,0.0,1.0,True,False,0.0,1.0
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,99,0.0,100,61,0.0,1.0,True,False,0.0,1.0
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,100,0.0,101,62,0.0,1.0,True,False,0.0,1.0
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,101,0.0,102,63,0.0,1.0,True,False,0.0,1.0
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,102,0.0,103,64,0.0,1.0,True,False,0.0,1.0
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,103,0.0,104,65,0.0,1.0,True,False,0.0,1.0
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,104,0.0,105,66,0.0,1.0,True,False,0.0,1.0
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,105,0.0,106,67,0.0,1.0,True,False,0.0,1.0
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,106,0.0,107,68,0.0,1.0,True,False,0.0,1.0
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,107,0.0,108,69,0.0,1.0,True,False,0.0,1.0
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,108,0.0,109,70,0.0,1.0,True,False,0.0,1.0
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,109,0.0,110,71,0.0,1.0,True,False,0.0,1.0
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,110,0.0,111,72,0.0,1.0,True,False,0.0,1.0
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,111,0.0,112,73,0.0,1.0,True,False,0.0,1.0
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,112,0.0,113,74,0.0,1.0,True,False,0.0,1.0
