run_id,regime,seed,arm,evidence_strength,condition_id,family,delta,noise,order,baseline_steps,attractor_belief,stable_window,local_probe_count,local_probes_passed,D_pre,D_immediate_first,D_immediate_last,D_final,D_post,delta_D,C_pre,C_post,C_post_defined_steps,normal_accepted,normal_rejected,acceptance_rate,rejection_rate,external_delivery_count,bypass_delivery_count,external_update_accepted_count,external_rejected_count,actual_revision_count,qualifying_revision_count,genuine_revision_count,apparent_correction_count,relapse_observed,relapse_rate_if_eligible,relapse_start_step,relapse_confirmation_step,time_to_relapse,time_to_relapse_from_last_injection,persistent_escape,persistent_escape_rate,normal_post_steps,steps_after_last_injection,classification,reference_corruption,reference_avoidance,path_length,L_actual,L_min_real,L_min_binary64,accepted_step_count,rejected_step_count,accepted_moves,first_rejection_step,first_rejection_gap,disconnected_gap_size,max_rejection_excess,TV,TV_input_only,actual_state_TV,requested_max_gap,first_requested_gap_step,requested_disconnected_edges,all_requested_edges_admissible,first_target_step,target_reached,target_reached_final,final_belief,bridge_completion,unordered_graph_path_exists,unordered_shortest_path_length,target_in_offered_values,sequence_sha256,multiset_sha256,empty_hold_steps
bridge_valid02_seed7,stationary,7,admissible_bridge,1.0,bridge_valid02,broken_bridge,,,,11,0.0,10,3,True,1.0,0.0,0.0,1.0,1.0,0.0,1.0,,0,50,0,1.0,0.0,1,1,1,0,1,1,0,0,True,1,48,52,48,48,False,0,120,120,E_relapse,not_available,not_available,50,50,20,21,50,0,50,,,,,1.0,0.98,1.0,0.020000000000000018,,0,True,50,True,True,0.0,True,True,25,True,3dd226045b6e60781386fccb033b9d076a2741201b8abf41deb82c9ceca8fa66,1f4509d1dad07c50a7a71cc09db8bc5435ca569cb56dd83693048f4ba96b20ac,70
broken_redundant_middle_seed7,stationary,7,admissible_bridge,1.0,broken_redundant_middle,broken_bridge,,,,11,0.0,10,3,True,1.0,0.0,0.0,1.0,1.0,0.0,1.0,,0,49,0,1.0,0.0,1,1,1,0,1,1,0,0,True,1,47,51,47,47,False,0,120,120,E_relapse,not_available,not_available,49,49,20,21,49,0,49,,,,,1.0,0.98,1.0,0.040000000000000036,,0,True,49,True,True,0.0,True,True,25,True,e6dd572815b8ad52f7da441f3cfdeaca221bbb7d696780a6bedfd117425db8a1,b2390ee63581f2395691e23ae1b9ee0323c3692094a24a36dbe6fa4a767eba87,71
geometry_monotone_seed7,stationary,7,admissible_bridge,1.0,geometry_monotone,geometry,,,,11,0.0,10,3,True,1.0,0.0,0.0,1.0,1.0,0.0,1.0,,0,32,0,1.0,0.0,1,1,1,0,1,1,0,0,True,1,31,35,31,31,False,0,120,120,E_relapse,not_available,not_available,32,32,20,21,32,0,32,,,,,1.0,0.96875,1.0,0.03125,,0,True,32,True,True,0.0,True,True,32,True,16d296c23fc8f0345b2ae1a011fd051fcb0780a81dc9e680ceff024994b35529,88b8f54545534d2526de52cb70a8c8c8c7c4b298f2b2ec8dabbd13f51bf82f43,88
geometry_detour_seed7,stationary,7,admissible_bridge,1.0,geometry_detour,geometry,,,,11,0.0,10,3,True,1.0,0.0,0.0,1.0,1.0,0.0,1.0,,0,48,0,1.0,0.0,1,1,1,0,1,1,0,0,True,1,47,51,47,47,False,0,120,120,E_relapse,not_available,not_available,48,48,20,21,48,0,48,,,,,1.5,1.46875,1.5,0.03125,,0,True,48,True,True,0.0,True,True,32,True,0056beab4895ec8a9c65772e90f4ed5e174f099dd9243cefa5e7d22d709013ec,406594d25b29c690f83f97d54592a93a489b48260eb859e7234b9d44ff0a6d6e,72
geometry_oscillatory_seed7,stationary,7,admissible_bridge,1.0,geometry_oscillatory,geometry,,,,11,0.0,10,3,True,1.0,0.0,0.0,1.0,1.0,0.0,1.0,,0,96,0,1.0,0.0,1,1,1,0,1,1,0,0,True,1,91,95,91,91,False,0,120,120,E_relapse,not_available,not_available,96,96,20,21,96,0,96,,,,,2.0,1.96875,2.0,0.03125,,0,True,94,True,True,0.0,True,True,22,True,4e93cce7688f26206b4995f6d1b2786815acc4d52ecaf1a19c1c80eef0105fb0,eb3610870123cf1f4bf588be2b6632a34704b470e3809be8cdef47a9df834ed7,24
geometry_random_connected_seed7,stationary,7,admissible_bridge,1.0,geometry_random_connected,geometry,,,,11,0.0,10,3,True,1.0,0.0,0.0,1.0,1.0,0.0,1.0,,0,85,0,1.0,0.0,1,1,1,0,1,1,0,0,True,1,84,88,84,84,False,0,120,120,E_relapse,not_available,not_available,85,85,20,21,85,0,80,,,,,2.5,2.46875,2.5,0.03125,,0,True,85,True,True,0.0,True,True,32,True,b8aae990d157c36a89dade3f9c69ad6837271c3edd0f81ad1ab2bef9924a8cb3,e02c3e7749dc81c997318ec537634194f49775c4192470f399fea9ec64b82c31,35
geometry_random_free_seed7,stationary,7,admissible_bridge,1.0,geometry_random_free,geometry,,,,11,0.0,10,3,True,1.0,0.0,0.0,0.34375,0.34375,-0.65625,1.0,,0,64,0,1.0,0.0,1,1,1,0,1,1,1,0,False,0,,,,,True,1,120,120,A_genuine_revision_candidate,not_available,not_available,64,64,20,21,64,0,59,,,,,1.84375,1.8125,1.84375,0.03125,,0,True,,False,False,0.65625,False,False,,False,e99b10ffd6f65e8879a4e375bb9bfebd7866b92a7d53a768b7095fd184692822,0fd4f83ba3cbc40731ead4424f0b42bd7bf71a93988bf8c764e08d84536e8ac7,56
order_ascending_seed7,stationary,7,admissible_bridge,1.0,order_ascending,order,,,ascending,11,0.0,10,3,True,1.0,0.0,0.0,0.025000000000000022,0.0012500000000000011,-0.99875,1.0,0.975,1,1,119,0.008333333333333333,0.9916666666666667,1,1,1,0,1,1,1,0,False,0,,,,,True,1,120,120,A_genuine_revision_candidate,not_available,not_available,120,120,20,21,1,119,1,1,1.0,1.0,0.95,1.975,0.975,0.025000000000000022,1.0,1,1,False,,False,False,0.975,False,True,30,True,a86560a0e67b61e43dfb20c7007178cfd83d65ab7067568b9a9851b193b43d20,a86560a0e67b61e43dfb20c7007178cfd83d65ab7067568b9a9851b193b43d20,0
order_alternating_seed7,stationary,7,admissible_bridge,1.0,order_alternating,order,,,alternating,11,0.0,10,3,True,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,20,83,37,0.6916666666666667,0.30833333333333335,1,1,1,0,1,1,0,0,True,1,75,79,75,75,False,0,120,120,E_relapse,not_available,not_available,120,120,20,21,83,37,41,2,0.975,0.975,0.9249999999999999,38.05,38.025,1.0499999999999998,0.975,2,73,False,76,True,True,0.0,False,True,30,True,18d368d07ba75131a0a4907a7028696513e4ae0cfe13bb017c4158a760a09789,a86560a0e67b61e43dfb20c7007178cfd83d65ab7067568b9a9851b193b43d20,0
order_shuffled_seed7,stationary,7,admissible_bridge,1.0,order_shuffled,order,,,shuffled,11,0.0,10,3,True,1.0,0.0,0.0,0.025000000000000022,0.025000000000000022,-0.975,1.0,,0,1,119,0.008333333333333333,0.9916666666666667,1,1,1,0,1,1,1,0,False,0,,,,,True,1,120,120,A_genuine_revision_candidate,not_available,not_available,120,120,20,21,1,119,1,1,1.0,1.0,0.95,30.9,29.9,0.025000000000000022,1.0,1,61,False,,False,False,0.975,False,True,30,True,8a456d1fc5cb01caf9420ae2064a64a0734fad909566d32318af1a6b60dedca6,a86560a0e67b61e43dfb20c7007178cfd83d65ab7067568b9a9851b193b43d20,0
