graph_id,tol,step,belief_before,input_value,accepted,belief_after
uniform_n80_tol0.049,0.049,14,0.5125,0.475,True,0.475
uniform_n80_tol0.049,0.049,15,0.475,0.4375,True,0.4375
uniform_n80_tol0.049,0.049,16,0.4375,0.4,True,0.4
uniform_n80_tol0.049,0.049,17,0.4,0.3625,True,0.3625
uniform_n80_tol0.049,0.049,18,0.3625,0.325,True,0.325
uniform_n80_tol0.049,0.049,19,0.325,0.2875,True,0.2875
uniform_n80_tol0.049,0.049,20,0.2875,0.25,True,0.25
uniform_n80_tol0.049,0.049,21,0.25,0.2125,True,0.2125
uniform_n80_tol0.049,0.049,22,0.2125,0.175,True,0.175
uniform_n80_tol0.049,0.049,23,0.175,0.1375,True,0.1375
uniform_n80_tol0.049,0.049,24,0.1375,0.1,True,0.1
uniform_n80_tol0.049,0.049,25,0.1,0.0625,True,0.0625
uniform_n80_tol0.049,0.049,26,0.0625,0.025,True,0.025
uniform_n80_tol0.049,0.049,27,0.025,0.0,True,0.0
uniform_n80_tol0.05,0.05,1,1.0,0.9625,True,0.9625
uniform_n80_tol0.05,0.05,2,0.9625,0.925,True,0.925
uniform_n80_tol0.05,0.05,3,0.925,0.8875,True,0.8875
uniform_n80_tol0.05,0.05,4,0.8875,0.8375,True,0.8375
uniform_n80_tol0.05,0.05,5,0.8375,0.8,True,0.8
uniform_n80_tol0.05,0.05,6,0.8,0.7625,True,0.7625
uniform_n80_tol0.05,0.05,7,0.7625,0.7125,True,0.7125
uniform_n80_tol0.05,0.05,8,0.7125,0.675,True,0.675
uniform_n80_tol0.05,0.05,9,0.675,0.6375,True,0.6375
uniform_n80_tol0.05,0.05,10,0.6375,0.5875,True,0.5875
uniform_n80_tol0.05,0.05,11,0.5875,0.55,True,0.55
uniform_n80_tol0.05,0.05,12,0.55,0.5125,True,0.5125
uniform_n80_tol0.05,0.05,13,0.5125,0.4625,True,0.4625
uniform_n80_tol0.05,0.05,14,0.4625,0.425,True,0.425
uniform_n80_tol0.05,0.05,15,0.425,0.375,True,0.375
uniform_n80_tol0.05,0.05,16,0.375,0.325,True,0.325
uniform_n80_tol0.05,0.05,17,0.325,0.275,True,0.275
uniform_n80_tol0.05,0.05,18,0.275,0.2375,True,0.2375
uniform_n80_tol0.05,0.05,19,0.2375,0.1875,True,0.1875
uniform_n80_tol0.05,0.05,20,0.1875,0.1375,True,0.1375
uniform_n80_tol0.05,0.05,21,0.1375,0.1,True,0.1
uniform_n80_tol0.05,0.05,22,0.1,0.05,True,0.05
uniform_n80_tol0.05,0.05,23,0.05,0.0,True,0.0
uniform_n80_tol0.051,0.051,1,1.0,0.95,True,0.95
uniform_n80_tol0.051,0.051,2,0.95,0.9,True,0.9
uniform_n80_tol0.051,0.051,3,0.9,0.85,True,0.85
uniform_n80_tol0.051,0.051,4,0.85,0.8,True,0.8
uniform_n80_tol0.051,0.051,5,0.8,0.75,True,0.75
uniform_n80_tol0.051,0.051,6,0.75,0.7,True,0.7
uniform_n80_tol0.051,0.051,7,0.7,0.65,True,0.65
uniform_n80_tol0.051,0.051,8,0.65,0.6,True,0.6
uniform_n80_tol0.051,0.051,9,0.6,0.55,True,0.55
uniform_n80_tol0.051,0.051,10,0.55,0.5,True,0.5
uniform_n80_tol0.051,0.051,11,0.5,0.45,True,0.45
uniform_n80_tol0.051,0.051,12,0.45,0.4,True,0.4
uniform_n80_tol0.051,0.051,13,0.4,0.35,True,0.35
uniform_n80_tol0.051,0.051,14,0.35,0.3,True,0.3
uniform_n80_tol0.051,0.051,15,0.3,0.25,True,0.25
uniform_n80_tol0.051,0.051,16,0.25,0.2,True,0.2
uniform_n80_tol0.051,0.051,17,0.2,0.15,True,0.15
uniform_n80_tol0.051,0.051,18,0.15,0.1,True,0.1
uniform_n80_tol0.051,0.051,19,0.1,0.05,True,0.05
uniform_n80_tol0.051,0.051,20,0.05,0.0,True,0.0
witness_augmented_n40_tol0.05,0.05,1,1.0,0.9500000000000001,True,0.9500000000000001
witness_augmented_n40_tol0.05,0.05,2,0.9500000000000001,0.9000000000000001,True,0.9000000000000001
witness_augmented_n40_tol0.05,0.05,3,0.9000000000000001,0.8500000000000002,True,0.8500000000000002
