run_id,regime,seed,baseline_steps,phase,probe,returned_belief,passed
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,27,0,0.0,True
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,27,0.0125,0.0,True
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,27,0.025,0.0,True
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,28,0,0.0,True
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,28,0.0125,0.0,True
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,28,0.025,0.0,True
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,29,0,0.0,True
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,29,0.0125,0.0,True
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,29,0.025,0.0,True
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,30,0,0.0,True
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,30,0.0125,0.0,True
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,30,0.025,0.0,True
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,31,0,0.0,True
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,31,0.0125,0.0,True
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,31,0.025,0.0,True
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,32,0,0.0,True
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,32,0.0125,0.0,True
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,32,0.025,0.0,True
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,33,0,0.0,True
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,33,0.0125,0.0,True
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,33,0.025,0.0,True
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,34,0,0.0,True
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,34,0.0125,0.0,True
